1789208285 cpu0 105964.38 45370.83 31302.05 11386.38 210463.31
1789208285 cpu1 129873.93 42664.59 5923.34 8685.24 216437.84
1789208285 cpu2 129794.68 42580.18 5851.5 8602.47 216660.71
1789208285 cpu3 125565.68 48107.5 5734.99 9173.57 214699.3
1789208295 cpu0 105964.38 45370.83 31302.05 11386.38 210463.31
1789208295 cpu1 129873.93 42664.59 5923.34 8685.24 216437.84
1789208295 cpu2 129794.68 42580.18 5851.5 8602.47 216660.71
1789208295 cpu3 125565.68 48107.5 5734.99 9173.57 214699.3
1789208305 cpu0 105973.27 45374.27 31303.64 11387.17 210478.08
1789208305 cpu1 129883.65 42667.99 5923.7 8685.89 216452.93
1789208305 cpu2 129805.1 42583.52 5851.87 8603.12 216675.37
1789208305 cpu3 125575.78 48111.29 5735.35 9174.25 214713.74
1789208315 cpu0 105973.27 45374.27 31303.64 11387.17 210478.08
1789208315 cpu1 129883.65 42667.99 5923.7 8685.89 216452.93
1789208315 cpu2 129805.1 42583.52 5851.87 8603.12 216675.37
1789208315 cpu3 125575.78 48111.29 5735.35 9174.25 214713.74
1789208325 cpu0 105973.27 45374.27 31303.64 11387.17 210478.08
1789208325 cpu1 129883.65 42667.99 5923.7 8685.89 216452.93
1789208325 cpu2 129805.1 42583.52 5851.87 8603.12 216675.37
1789208325 cpu3 125575.78 48111.29 5735.35 9174.25 214713.74
1789208336 cpu0 105986.07 45377.99 31305.2 11387.87 210489.13
1789208336 cpu1 129899.45 42671.17 5923.99 8686.49 216463.04
1789208336 cpu2 129819.64 42586.91 5852.17 8603.72 216686.48
1789208336 cpu3 125590.57 48114.57 5735.65 9174.87 214724.6
1789208346 cpu0 105986.07 45377.99 31305.2 11387.87 210489.13
1789208346 cpu1 129899.45 42671.17 5923.99 8686.49 216463.04
1789208346 cpu2 129819.64 42586.91 5852.17 8603.72 216686.48
1789208346 cpu3 125590.57 48114.57 5735.65 9174.87 214724.6
1789208356 cpu0 105986.07 45377.99 31305.2 11387.87 210489.13
1789208356 cpu1 129899.45 42671.17 5923.99 8686.49 216463.04
1789208356 cpu2 129819.64 42586.91 5852.17 8603.72 216686.48
1789208356 cpu3 125590.57 48114.57 5735.65 9174.87 214724.6
1789208366 cpu0 105996.36 45381.56 31307.67 11388.67 210501.62
1789208366 cpu1 129912.06 42674.51 5924.38 8687.09 216475.78
1789208366 cpu2 129832.16 42589.81 5852.58 8604.35 216699.5
1789208366 cpu3 125603.46 48117.86 5736.01 9175.51 214737.08
1789208376 cpu0 105996.36 45381.56 31307.67 11388.67 210501.62
1789208376 cpu1 129912.06 42674.51 5924.38 8687.09 216475.78
1789208376 cpu2 129832.16 42589.81 5852.58 8604.35 216699.5
1789208376 cpu3 125603.46 48117.86 5736.01 9175.51 214737.08
1789208387 cpu0 105996.36 45381.56 31307.67 11388.67 210501.62
1789208387 cpu1 129912.06 42674.51 5924.38 8687.09 216475.78
1789208387 cpu2 129832.16 42589.81 5852.58 8604.35 216699.5
1789208387 cpu3 125603.46 48117.86 5736.01 9175.51 214737.08
1789208397 cpu0 106005.32 45384.8 31310.99 11389.49 210514.89
1789208397 cpu1 129923.69 42677.63 5924.96 8687.72 216489.29
1789208397 cpu2 129843.93 42592.96 5853.05 8604.95 216713.09
1789208397 cpu3 125615.08 48121.35 5736.44 9176.13 214750.38
1789208407 cpu0 106005.32 45384.8 31310.99 11389.49 210514.89
1789208407 cpu1 129923.69 42677.63 5924.96 8687.72 216489.29
1789208407 cpu2 129843.93 42592.96 5853.05 8604.95 216713.09
1789208407 cpu3 125615.08 48121.35 5736.44 9176.13 214750.38
1789208417 cpu0 106005.32 45384.8 31310.99 11389.49 210514.89
1789208417 cpu1 129923.69 42677.63 5924.96 8687.72 216489.29
1789208417 cpu2 129843.93 42592.96 5853.05 8604.95 216713.09
1789208417 cpu3 125615.08 48121.35 5736.44 9176.13 214750.38
1789208427 cpu0 106012.58 45388.89 31314.18 11390.31 210529.33
1789208427 cpu1 129933.83 42680.68 5925.5 8688.34 216504.63
1789208427 cpu2 129853.61 42596.22 5853.56 8605.57 216728.57
1789208427 cpu3 125624.6 48124.76 5736.89 9176.77 214765.77
1789208438 cpu0 106012.58 45388.89 31314.18 11390.31 210529.33
1789208438 cpu1 129933.83 42680.68 5925.5 8688.34 216504.63
1789208438 cpu2 129853.61 42596.22 5853.56 8605.57 216728.57
1789208438 cpu3 125624.6 48124.76 5736.89 9176.77 214765.77
1789208448 cpu0 106012.58 45388.89 31314.18 11390.31 210529.33
1789208448 cpu1 129933.83 42680.68 5925.5 8688.34 216504.63
1789208448 cpu2 129853.61 42596.22 5853.56 8605.57 216728.57
1789208448 cpu3 125624.6 48124.76 5736.89 9176.77 214765.77
1789208458 cpu0 106019.21 45392.99 31317.29 11391.13 210543.99
1789208458 cpu1 129942.99 42683.98 5926.05 8688.97 216520.06
1789208458 cpu2 129862.56 42599.54 5854.04 8606.18 216744.36
