1789086025 cpu0 47488.65 36093.76 31785.89 9039.94 157979.38
1789086025 cpu1 62487.4 37738.28 6700.66 7563.43 166718.44
1789086025 cpu2 63975.2 34652.26 6738.97 7149.5 168478.13
1789086025 cpu3 63675.79 34680.97 6679.7 7170.21 168733.67
1789086035 cpu0 47493.33 36097.42 31789.13 9040.89 157996.03
1789086035 cpu1 62493.95 37742.15 6701.35 7564.17 166735.75
1789086035 cpu2 63981.38 34655.88 6739.68 7150.23 168496.03
1789086035 cpu3 63682.5 34684.35 6680.39 7170.95 168751.27
1789086045 cpu0 47493.33 36097.42 31789.13 9040.89 157996.03
1789086045 cpu1 62493.95 37742.15 6701.35 7564.17 166735.75
1789086045 cpu2 63981.38 34655.88 6739.68 7150.23 168496.03
1789086045 cpu3 63682.5 34684.35 6680.39 7170.95 168751.27
1789086055 cpu0 47493.33 36097.42 31789.13 9040.89 157996.03
1789086055 cpu1 62493.95 37742.15 6701.35 7564.17 166735.75
1789086055 cpu2 63981.38 34655.88 6739.68 7150.23 168496.03
1789086055 cpu3 63682.5 34684.35 6680.39 7170.95 168751.27
1789086066 cpu0 47498.1 36101.13 31792.37 9041.83 158012.64
1789086066 cpu1 62500.77 37746.08 6702.03 7564.94 166752.73
1789086066 cpu2 63988.05 34659.44 6740.38 7150.95 168513.49
1789086066 cpu3 63689.02 34688.11 6681.07 7171.67 168768.84
1789086076 cpu0 47498.1 36101.13 31792.37 9041.83 158012.64
1789086076 cpu1 62500.77 37746.08 6702.03 7564.94 166752.73
1789086076 cpu2 63988.05 34659.44 6740.38 7150.95 168513.49
1789086076 cpu3 63689.02 34688.11 6681.07 7171.67 168768.84
1789086086 cpu0 47498.1 36101.13 31792.37 9041.83 158012.64
1789086086 cpu1 62500.77 37746.08 6702.03 7564.94 166752.73
1789086086 cpu2 63988.05 34659.44 6740.38 7150.95 168513.49
1789086086 cpu3 63689.02 34688.11 6681.07 7171.67 168768.84
1789086096 cpu0 47502.84 36105.05 31795.72 9042.78 158028.84
1789086096 cpu1 62507.01 37749.91 6702.73 7565.75 166770.2
1789086096 cpu2 63994.84 34663 6741.09 7151.7 168530.79
1789086096 cpu3 63695.42 34691.78 6681.78 7172.44 168786.31
1789086106 cpu0 47502.84 36105.05 31795.72 9042.78 158028.84
1789086106 cpu1 62507.01 37749.91 6702.73 7565.75 166770.2
1789086106 cpu2 63994.84 34663 6741.09 7151.7 168530.79
1789086106 cpu3 63695.42 34691.78 6681.78 7172.44 168786.31
1789086117 cpu0 47507.88 36108.77 31798.94 9043.7 158045.16
1789086117 cpu1 62513.29 37753.83 6703.43 7566.5 166787.58
1789086117 cpu2 64001.5 34666.3 6741.81 7152.45 168548.46
1789086117 cpu3 63702.27 34695.45 6682.42 7173.15 168803.55
1789086127 cpu0 47507.88 36108.77 31798.94 9043.7 158045.16
1789086127 cpu1 62513.29 37753.83 6703.43 7566.5 166787.58
1789086127 cpu2 64001.5 34666.3 6741.81 7152.45 168548.46
